date,close,high,low,open,volume,ticker
2020-01-02,152.15838623046875,152.2625919076215,149.9890318942147,150.4153225898607,22622100,MSFT
2020-01-03,150.2637939453125,151.5237304428571,149.7332974105456,149.9796096980777,21116200,MSFT
2020-01-06,150.65216064453125,150.718479922249,148.26491238072057,148.80489122518964,20813700,MSFT
2020-01-07,149.27853393554688,151.2584272318134,149.03223619242732,150.92687424549183,21634100,MSFT
2020-01-08,151.6563262939453,152.32892928184137,149.6290637970409,150.55743255975017,27746500,MSFT
2020-01-09,153.55093383789062,153.67408993395057,152.54677800677655,153.31410408696973,21385000,MSFT
2020-01-10,152.8404541015625,154.62141856495847,152.68887958234973,154.24249672186824,20725900,MSFT
2020-01-13,154.6782684326172,154.70668685049705,152.7646797173632,153.23833928861814,21626500,MSFT
2020-01-14,153.58883666992188,154.98139677965818,153.20043240422595,154.7824534261497,23477400,MSFT
2020-01-15,154.58349609375,155.30346773187313,154.00564542306233,154.0529998056212,21417900,MSFT
2020-01-16,157.41600036621094,157.4823196362133,155.3887382345589,155.69188726038482,23865400,MSFT
2020-01-17,158.29701232910156,158.6475157371676,156.71497686229213,158.60014689568655,34371700,MSFT
2020-01-21,157.72865295410156,159.32962477735774,157.66233366914093,157.89916347838133,29517200,MSFT
2020-01-22,156.97076416015625,158.66647335945913,156.95181373171633,158.58120365895033,24138800,MSFT
2020-01-23,157.9370574951172,158.0128447653816,156.56344755206595,157.43497947769117,19680800,MSFT
2020-01-24,156.3455810546875,158.7044114684961,155.78666610061498,158.685461033882,24918100,MSFT
2020-01-27,153.73095703125,154.77301392246096,151.76053138101526,152.66048172072817,32078100,MSFT
2020-01-28,156.74342346191406,157.0276076258131,154.4793314082179,155.15191986936853,24899900,MSFT
2020-01-29,159.18748474121094,159.86008761817865,156.96129367549298,158.99802382465174,34754500,MSFT
2020-01-30,163.6777801513672,164.88087936173753,161.7926100859004,164.88087936173753,51597500,MSFT
2020-01-31,161.2621307373047,163.31781150569444,160.6463790875127,163.1378330139446,36142700,MSFT
2020-02-03,165.1935577392578,165.3072314390198,161.4232162077576,161.4516346326981,30107000,MSFT
2020-02-04,170.63111877441406,171.1237287743186,167.0218351658526,167.80811178619967,36433300,MSFT
2020-02-05,170.4226837158203,174.49615834021887,169.0111876454054,174.3351158434909,39186300,MSFT
2020-02-06,173.9562225341797,174.13621548794777,170.5742861837626,171.43635009131322,27751400,MSFT
2020-02-07,174.20249938964844,175.85083973913436,172.86677606101028,173.21729393859556,33529100,MSFT
2020-02-10,178.7591094970703,178.89173359155058,173.59622334452445,173.90884037900125,35844300,MSFT
2020-02-11,174.72354125976562,180.65375376260124,173.8330589718601,180.60638491548957,53159900,MSFT
2020-02-12,174.97933959960938,176.05928293291046,172.2700060504583,175.8035026959606,47062900,MSFT
2020-02-13,174.03199768066406,176.4192313976913,173.2362386533794,173.4351820239361,35295800,MSFT
2020-02-14,175.5856170654297,175.64245390384997,173.02784369696806,173.59624099105812,23149500,MSFT
2020-02-18,177.36656188964844,177.81180305026547,175.727703793834,175.83190947940273,27792200,MSFT
2020-02-19,177.8984832763672,178.75339330512708,177.1290613515988,178.63940916647175,29997500,MSFT
2020-02-20,175.18177795410156,177.87001544081576,172.02809549780588,177.5850405545757,36862400,MSFT
2020-02-21,169.6438446044922,174.30789026966164,168.37097302614455,173.99441929987273,48572600,MSFT
2020-02-24,162.32955932617188,165.80622141128146,155.0532703487702,159.36585498840046,68311100,MSFT
2020-02-25,159.65081787109375,166.0816754656081,159.25184432237913,165.4737357884397,68073300,MSFT
2020-02-26,161.64561462402344,164.58082272532707,159.7838056869428,161.20866567721743,56206100,MSFT
2020-02-27,150.25619506835938,158.66287293546242,150.06621667754132,155.13872812835803,93174900,MSFT
2020-02-28,153.89437866210938,155.50923164149168,144.3858178493649,144.77528307354186,97012700,MSFT
2020-03-02,164.13436889648438,164.25786140312832,154.17935094628967,157.02907098692916,71030800,MSFT
2020-03-03,156.2691192626953,166.2336440588436,154.13182955336734,165.09375911275336,71677000,MSFT
2020-03-04,162.006591796875,162.1490720051714,157.32354419371018,160.049786299332,49814400,MSFT
2020-03-05,157.94097900390625,162.31054079350352,157.39003142065653,157.7319983863141,47817300,MSFT
2020-03-06,153.47642517089844,154.93927504171984,148.18543814642317,154.46432171432747,72821100,MSFT
2020-03-09,143.07492065429688,149.84775902864055,142.48598322850134,143.435889783358,70419300,MSFT
2020-03-10,152.85897827148438,152.96346858405525,144.93676019104754,150.2372411030131,65354400,MSFT
2020-03-11,145.93414306640625,149.8002550593637,143.57836446468625,149.25881588095203,56371600,MSFT
2020-03-12,132.09400939941406,145.7821669760473,131.63805829012034,138.0214317979302,93226400,MSFT
2020-03-13,150.8736572265625,153.79937110403267,133.6803430845326,140.11121440764762,92727400,MSFT
2020-03-16,128.63636779785156,141.86857610037168,128.2374087100847,132.98694236601375,87905900,MSFT
2020-03-17,139.22781372070312,140.111219878546,128.23738768544888,132.98692056268771,81059800,MSFT
2020-03-18,133.3668670654297,138.68634927369683,128.25637994155176,131.08709725869974,81593200,MSFT
2020-03-19,135.56118774414062,142.62848121921525,132.03702760813172,135.61817982543892,85922700,MSFT
2020-03-20,130.46969604492188,139.73128672500724,129.054329789664,138.68638351717573,84866200,MSFT
2020-03-23,129.16830444335938,133.52838705805826,125.88163549437337,130.14670715023314,78975200,MSFT
2020-03-24,140.90911865234375,142.1060100501509,134.19328761949444,136.5490515459888,82516700,MSFT
2020-03-25,139.56031799316406,146.59913149917378,137.2045529736257,141.45063791485885,75638200,MSFT
2020-03-26,148.28993225097656,148.81238382335576,140.9376493369031,140.96614537772146,64568100,MSFT
2020-03-27,142.2010040283203,147.13102121684818,141.7260507653704,144.14831530529963,57042300,MSFT
2020-03-30,152.2035369873047,152.55501230058746,142.49548995938957,144.8037706334884,63420300,MSFT
2020-03-31,149.8097686767578,156.52560046154846,148.71736744542542,151.41509857414286,77927200,MSFT
2020-04-01,144.49029541015625,149.84776812499067,143.2649222575526,145.33571171552185,57969900,MSFT
2020-04-02,147.48251342773438,147.69149406752848,142.82797625652344,144.25283634906882,49630700,MSFT
2020-04-03,146.1241455078125,149.4963171018683,144.5662991410881,147.33053104311554,41243300,MSFT
2020-04-06,156.99107360839844,158.1594547108867,149.68628926690775,152.28903866452734,67111700,MSFT
2020-04-07,155.3002166748047,161.48410268308842,155.08172774695498,161.09463754501482,62769000,MSFT
2020-04-08,156.8580780029297,158.32092775680474,155.30972564119622,157.3710211779595,48318200,MSFT
2020-04-09,156.86753845214844,158.98582561353126,155.1482102296076,158.0264253911556,51385100,MSFT
2020-04-13,157.21902465820312,157.27603122535353,154.16983281192037,156.1171440984928,41905300,MSFT
2020-04-14,164.99876403808594,165.04626226424094,159.58429962815816,160.53420617356386,52874300,MSFT
2020-04-15,163.26992797851562,164.8752722248114,160.76217548860208,162.6239840446775,40940800,MSFT
2020-04-16,168.1714630126953,168.3994458213664,164.23885015327437,165.5687281288851,50479600,MSFT
2020-04-17,169.6533203125,170.98318372145278,167.06006492340595,170.50823043333762,52765600,MSFT
2020-04-20,166.29063415527344,169.795791556013,166.22414823554044,167.781994358711,36669600,MSFT
2020-04-21,159.4133758544922,164.97032227670314,157.78902874988998,164.8088398501871,56203700,MSFT
2020-04-22,164.8278350830078,165.2837862971118,162.26308957383472,162.804528922878,34620200,MSFT
