Ticker,Condition,Model,Accuracy,Precision,Recall,F1,MCC,AUC
AAPL,TA only,Logistic Regression,0.5161,0.7419,0.7308,0.6139,0.0641,0.6187
AAPL,TA only,Random Forest,0.5161,0.6759,0.5809,0.6148,-0.0495,0.5235
AAPL,TA only,XGBoost,0.4839,0.6621,0.6719,0.6166,-0.1101,0.5036
AAPL,Sentiment only,Logistic Regression,0.5645,0.6774,0.8269,0.7071,-0.0292,0.4615
AAPL,Sentiment only,Random Forest,0.543,0.6679,0.8013,0.6835,-0.0485,0.4548
AAPL,Sentiment only,XGBoost,0.5107,0.6493,0.7468,0.6529,-0.1003,0.4369
AAPL,Hybrid (TA + Sentiment),Logistic Regression,0.5269,0.6753,0.7692,0.6545,-0.0242,0.5279
AAPL,Hybrid (TA + Sentiment),Random Forest,0.3871,0.5651,0.505,0.4912,-0.2455,0.4492
AAPL,Hybrid (TA + Sentiment),XGBoost,0.4301,0.598,0.6178,0.5546,-0.2174,0.4256
AAPL,TA only,LSTM,0.5321,0.6568,0.784,0.6802,-0.059,0.458
AAPL,TA only,BiLSTM,0.4038,0.3703,0.6129,0.4609,-0.0895,0.5017
AAPL,Sentiment only,LSTM,0.5577,0.4832,0.5833,0.5103,0.0664,0.6294
AAPL,Sentiment only,BiLSTM,0.4679,0.4526,0.4848,0.4319,-0.041,0.4682
AAPL,Hybrid (TA + Sentiment),LSTM,0.4359,0.3846,0.6667,0.4877,0.0,0.5098
AAPL,Hybrid (TA + Sentiment),BiLSTM,0.4359,0.3846,0.6667,0.4877,0.0,0.5298
TSLA,TA only,Logistic Regression,0.457,0.7546,0.4172,0.4586,-0.013,0.5108
TSLA,TA only,Random Forest,0.3871,0.7257,0.307,0.3655,-0.1184,0.4677
TSLA,TA only,XGBoost,0.4032,0.7333,0.3183,0.3885,-0.0716,0.4031
TSLA,Sentiment only,Logistic Regression,0.6613,0.6733,0.9787,0.7956,-0.0425,0.5057
TSLA,Sentiment only,Random Forest,0.6022,0.6666,0.8709,0.742,-0.0614,0.498
TSLA,Sentiment only,XGBoost,0.5968,0.6778,0.8411,0.7301,-0.0349,0.4297
TSLA,Hybrid (TA + Sentiment),Logistic Regression,0.4408,0.7452,0.3981,0.4516,-0.0527,0.5024
TSLA,Hybrid (TA + Sentiment),Random Forest,0.414,0.7296,0.3495,0.4254,-0.0777,0.4428
TSLA,Hybrid (TA + Sentiment),XGBoost,0.4086,0.745,0.3276,0.3835,-0.0621,0.3676
TSLA,TA only,LSTM,0.5192,0.4308,0.6111,0.5039,0.09,0.5223
TSLA,TA only,BiLSTM,0.4936,0.4038,0.6667,0.5027,0.0,0.4422
TSLA,Sentiment only,LSTM,0.5513,0.4473,0.5877,0.5036,-0.034,0.4894
TSLA,Sentiment only,BiLSTM,0.5577,0.4496,0.5965,0.5088,-0.0254,0.5796
TSLA,Hybrid (TA + Sentiment),LSTM,0.4167,0.392,0.2977,0.2873,-0.0926,0.493
TSLA,Hybrid (TA + Sentiment),BiLSTM,0.4551,0.7353,0.3795,0.3396,-0.0073,0.4487
MSFT,TA only,Logistic Regression,0.4785,0.5512,0.8043,0.6082,0.0458,0.6497
MSFT,TA only,Random Forest,0.4893,0.5694,0.4618,0.4552,0.0381,0.6548
MSFT,TA only,XGBoost,0.5108,0.5952,0.6104,0.5629,0.0965,0.5672
MSFT,Sentiment only,Logistic Regression,0.5161,0.549,0.9348,0.6765,-0.0528,0.523
MSFT,Sentiment only,Random Forest,0.5108,0.5599,0.8986,0.6645,0.0026,0.4973
MSFT,Sentiment only,XGBoost,0.4839,0.5452,0.8696,0.6419,-0.0431,0.5156
MSFT,Hybrid (TA + Sentiment),Logistic Regression,0.4893,0.5505,0.8333,0.6287,0.0346,0.6439
MSFT,Hybrid (TA + Sentiment),Random Forest,0.4839,0.578,0.5254,0.48,0.0217,0.6315
MSFT,Hybrid (TA + Sentiment),XGBoost,0.5054,0.5912,0.7001,0.5855,0.1123,0.5612
MSFT,TA only,LSTM,0.5384,0.5384,1.0,0.6912,0.0,0.4018
MSFT,TA only,BiLSTM,0.5705,0.5562,1.0,0.7064,0.1087,0.5098
MSFT,Sentiment only,LSTM,0.4616,0.1667,0.3333,0.2222,0.0,0.5556
MSFT,Sentiment only,BiLSTM,0.3974,0.3013,0.6667,0.414,0.0,0.4755
MSFT,Hybrid (TA + Sentiment),LSTM,0.3974,0.3013,0.6667,0.414,0.0,0.538
MSFT,Hybrid (TA + Sentiment),BiLSTM,0.5384,0.5384,1.0,0.6912,0.0,0.3884
